Game,TrialNumber,SubjID,Load,FrameAveraging,FPS,NumberOfFrames,AverageValError,BestScore
Venture,63,R,0,TRUE,30,24423,0.74,8600
Venture,65,R,0,TRUE,30,23379,0.25,11700
Venture,93,R,0,TRUE,30,24694,0.43,9800
Venture,100,R,0,TRUE,30,25103,0.5,8400
Venture,101,R,0,TRUE,30,25377,0.36,10400
Venture,107,R,0,TRUE,30,25195,0.49,8400
Venture,111,R,0,TRUE,30,24583,0.38,11800
Venture,114,R,0,TRUE,30,24975,0.41,10300
Venture,127,J,0,TRUE,20,16952,0.26,5700
Venture,130,J,0,TRUE,20,17449,0.24,3300
Venture,133,J,0,TRUE,20,16884,0.4,8800
Venture,154,K,0,TRUE,20,16513,0.31,3100
Venture,155,K,0,TRUE,20,17035,0.54,10800
